abá -> [aˈba] | a.bá | a.[bá]
ababa -> [aˈbaba] | a.ba.ba | a.[ba].ba
abaçaí -> [abasaˈi] | a.ba.ça.í | a.ba.ça.[í]
abaças -> [aˈbasas] | a.ba.ças | a.[ba].ças
abacateiro -> [abakaˈteɪɾʊ] | a.ba.ca.tei.ro | a.ba.ca.[tei].ro
abacaxi -> [abakaˈʃi] | a.ba.ca.xi | a.ba.ca.[xi]
abacha -> [aˈbaʃa] | a.ba.cha | a.[ba].cha
abacial -> [abasiˈaʊ] | a.ba.ci.al | a.ba.ci.[al]
ábacos -> [ˈabakʊs] | á.ba.cos | [á].ba.cos
abadá -> [abaˈda] | a.ba.dá | a.ba.[dá]
abadás -> [abaˈdas] | a.ba.dás | a.ba.[dás]
abade -> [aˈbaʤɪ] | a.ba.de | a.[ba].de
